Year,Sex,ICD10 Diagnosis,Diagnosis Type,Value_adm,Value_fat,Smoking Prevalence,"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix)
2004,Male,All diseases of the digestive system,All diseases of the digestive system,445716.0,11339.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,All diseases which can be caused by smoking,All diseases which can be caused by smoking,764401.0,,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,All respiratory diseases,All respiratory diseases,264796.0,42062.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,14513.0,8100.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Atherosclerosis,Circulatory diseases which can be caused by smoking,6214.0,357.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Bladder,Cancers which can be caused by smoking,82531.0,3987.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,55638.0,21543.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Cervical,Cancers which can be caused by smoking,0.0,0.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,100054.0,19593.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,6331.0,1676.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Crohns Disease,Digestive diseases which can be caused caused by smoking,5838.0,,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Hip Fracture 55+,Other diseases which can be caused by smoking,14406.0,,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,257895.0,56400.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Kidney and Renal Pelvis,Cancers which can be caused by smoking,9221.0,2471.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Larynx,Cancers which can be caused by smoking,6341.0,902.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Myeloid Leukaemia,Cancers which can be caused by smoking,20519.0,1415.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Oesophagus,Cancers which can be caused by smoking,38997.0,6622.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Other Heart Disease,Circulatory diseases which can be caused by smoking,138571.0,10952.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Other arterial disease,Circulatory diseases which can be caused by smoking,26115.0,1366.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Pancreas,Cancers which can be caused by smoking,12917.0,3636.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,1572.0,,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,53871.0,14147.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Spontaneous Abortion,Other diseases which can be caused by smoking,0.0,,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Stomach,Cancers which can be caused by smoking,20960.0,3689.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,18738.0,2429.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,82705.0,29728.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Unspecified Site,Cancers which can be caused by smoking,8826.0,7748.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Upper Respiratory Sites,Cancers which can be caused by smoking,14793.0,1839.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2005,Female,Age Related Cataract 45+,Other diseases which can be caused by smoking,77821.0,,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All admissions,All admissions,4584612.0,,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All cancers,All cancers,687418.0,74771.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All circulatory diseases,All circulatory diseases,411276.0,98601.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All deaths,All deaths,,282626.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All deaths which can be caused by smoking,All deaths which can be caused by smoking,,142929.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All diseases of the digestive system,All diseases of the digestive system,492236.0,13471.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All diseases which can be caused by smoking,All diseases which can be caused by smoking,644289.0,,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,All respiratory diseases,All respiratory diseases,254188.0,48169.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,4364.0,4867.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Atherosclerosis,Circulatory diseases which can be caused by smoking,3229.0,543.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Bladder,Cancers which can be caused by smoking,25013.0,1727.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,57320.0,31101.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Cervical,Cancers which can be caused by smoking,7941.0,892.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,91195.0,17925.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,4584.0,938.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Crohns Disease,Digestive diseases which can be caused caused by smoking,9987.0,,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Hip Fracture 55+,Other diseases which can be caused by smoking,52266.0,,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,127993.0,40259.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Kidney and Renal Pelvis,Cancers which can be caused by smoking,4248.0,1183.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Larynx,Cancers which can be caused by smoking,1325.0,227.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Myeloid Leukaemia,Cancers which can be caused by smoking,13437.0,1030.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Oesophagus,Cancers which can be caused by smoking,15558.0,3375.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Other Heart Disease,Circulatory diseases which can be caused by smoking,117119.0,15577.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Other arterial disease,Circulatory diseases which can be caused by smoking,19220.0,1921.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Pancreas,Cancers which can be caused by smoking,12410.0,4074.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,2367.0,,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,51724.0,20645.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Spontaneous Abortion,Other diseases which can be caused by smoking,13475.0,,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Stomach,Cancers which can be caused by smoking,8224.0,1886.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,16871.0,2416.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,57867.0,19610.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Unspecified Site,Cancers which can be caused by smoking,9010.0,6692.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Female,Upper Respiratory Sites,Cancers which can be caused by smoking,6321.0,841.0,23.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Age Related Cataract 45+,Other diseases which can be caused by smoking,49898.0,,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All admissions,All admissions,4122518.0,,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All cancers,All cancers,737584.0,90818.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All circulatory diseases,All circulatory diseases,582036.0,97140.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All deaths,All deaths,,273965.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All deaths which can be caused by smoking,All deaths which can be caused by smoking,,140636.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All diseases of the digestive system,All diseases of the digestive system,481709.0,11427.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All diseases which can be caused by smoking,All diseases which can be caused by smoking,785739.0,,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,All respiratory diseases,All respiratory diseases,266549.0,43166.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,14415.0,7549.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Atherosclerosis,Circulatory diseases which can be caused by smoking,6305.0,333.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Bladder,Cancers which can be caused by smoking,88018.0,3782.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,55717.0,20421.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Cervical,Cancers which can be caused by smoking,0.0,0.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,97647.0,20124.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,5935.0,1656.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Crohns Disease,Digestive diseases which can be caused caused by smoking,6791.0,,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Hip Fracture 55+,Other diseases which can be caused by smoking,15803.0,,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,255846.0,53532.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Kidney and Renal Pelvis,Cancers which can be caused by smoking,9726.0,2538.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Larynx,Cancers which can be caused by smoking,6998.0,880.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Myeloid Leukaemia,Cancers which can be caused by smoking,21969.0,1445.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Oesophagus,Cancers which can be caused by smoking,42784.0,6777.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Other Heart Disease,Circulatory diseases which can be caused by smoking,144279.0,11185.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Other arterial disease,Circulatory diseases which can be caused by smoking,27510.0,1404.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Pancreas,Cancers which can be caused by smoking,13297.0,3592.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,1626.0,,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,57130.0,14299.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Spontaneous Abortion,Other diseases which can be caused by smoking,0.0,,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Stomach,Cancers which can be caused by smoking,22720.0,3673.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,18446.0,2210.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,89327.0,29580.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Unspecified Site,Cancers which can be caused by smoking,8889.0,7213.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2005,Male,Upper Respiratory Sites,Cancers which can be caused by smoking,16060.0,1843.0,25.0,683.1,287.2,237.8,190.6,80.1,15300.0,813580.0,1.9,2205,2076,129,,48092,43465,4627,
2006,Female,Age Related Cataract 45+,Other diseases which can be caused by smoking,70893.0,,21.0,713.7,296.4,240.8,192.3,79.9,15542.0,851456.0,1.8,2079,1938,119,22.0,44817,39743,4315,760.0
2006,Female,All admissions,All admissions,4714566.0,,21.0,713.7,296.4,240.8,192.3,79.9,15542.0,851456.0,1.8,2079,1938,119,22.0,44817,39743,4315,760.0
